year,lat,long,num_flight,num_cancl,r_cancl,num_dely,r_dely,avg_dely
1998,18.43941667,-66.00183333,19864,411,0.02027127,7367,0.370871929,8.123540072
1998,25.90683333,-97.42586111,355,7,0.019337017,78,0.21971831,1.738028169
1998,27.97547222,-82.53325,53814,757,0.013871837,19264,0.357973761,7.867320772
1998,30.19453278,-97.66987194,38810,723,0.018288518,11300,0.291162072,5.473099717
1998,30.48325,-86.5254,1002,83,0.076497696,95,0.094810379,0.96007984
1998,30.49405556,-81.68786111,21806,293,0.013258518,7338,0.336512886,7.040860314
1998,31.94252778,-102.2019139,6371,99,0.015301391,1539,0.241563334,6.20530529
1998,32.31116667,-90.07588889,8905,173,0.019057061,3070,0.34475014,5.430993824
1998,32.73355611,-117.1896567,65791,1352,0.020136127,27906,0.424161359,9.405860984
1998,33.56294306,-86.75354972,19130,360,0.018471011,6485,0.338996341,6.603084161
1998,34.89566722,-82.21885833,6652,293,0.042188625,2167,0.325766687,4.859290439
1998,35.03526833,-85.20378778,1038,51,0.046831956,169,0.162813102,0.690751445
1998,35.43359806,-119.0567681,238,1,0.0041841,46,0.193277311,4.655462185
1998,35.87763889,-78.78747222,26874,760,0.027502352,8175,0.304197365,5.158443105
1998,37.24432611,-93.38685806,1770,42,0.023178808,260,0.146892655,5.461016949
1998,37.32546833,-79.97542833,2397,95,0.03812199,657,0.274092616,2.254484773
1998,37.36186194,-121.9290089,48442,758,0.015406504,17151,0.354052269,7.19379877
1998,38.69542167,-121.5907669,36117,314,0.008619033,14730,0.407841183,8.671124401
1998,38.74768694,-90.35998972,171405,4625,0.026273931,65661,0.383075173,11.0217905
1998,40.63975111,-73.77892556,41865,769,0.018037247,17042,0.407070345,8.555022095
1998,40.77724306,-73.87260917,91025,3379,0.035792975,34630,0.380444933,7.70135677
1998,40.7952425,-73.10021194,2260,35,0.015250545,464,0.205309735,2.032743363
1998,41.50409361,-74.10483833,1904,28,0.014492754,390,0.204831933,3.559348739
1998,43.53291472,-84.07964722,3708,221,0.056248409,997,0.268878101,4.628910464
1998,43.64616667,-70.30875,6442,173,0.026152683,1978,0.307047501,3.929680224
1998,45.8076625,-108.5428611,2764,114,0.039610841,796,0.287988423,5.19536903
1998,46.60681806,-111.9827503,832,17,0.020023557,157,0.188701923,1.625
1998,47.48200194,-111.3706853,2268,153,0.063197026,506,0.223104056,23.73544974
1998,47.949255,-97.17611111,1027,101,0.089539007,167,0.162609542,2.753651412
1998,48.31140472,-114.2550694,971,35,0.034791252,378,0.389289392,46.77342945
1998,53.90013889,-166.5435,554,121,0.179259259,300,0.541516245,15.11191336
2006,18.00830278,-66.56301194,576,2,0.003460208,199,0.345486111,3.815972222
2006,20.89864972,-156.4304578,23631,292,0.012205827,5300,0.224281664,1.136388642
2006,21.31869111,-157.9224072,60491,608,0.009951063,10871,0.179712685,0.312426642
2006,21.97598306,-159.3389581,13853,200,0.014231837,1976,0.142640583,-2.086840396
2006,26.53616667,-81.75516667,26252,179,0.006772351,9089,0.34622124,8.581098583
2006,27.54373861,-99.46154361,2701,55,0.019956459,684,0.253239541,5.490929285
2006,29.69005556,-82.27177778,1816,40,0.021551724,775,0.426762115,15.53634361
2006,30.58858944,-96.36382417,1707,46,0.02624073,306,0.179261863,4.315758641
