"year","manufacturer","model","num_flight","num_cancl","r_cancl","num_dely","r_dely","avg_dely"
2006,BOEING,767-424ER,3222,0,0.0,1222,0.3792675356921167,9.994723774053384
2006,CANADAIR,CL-600-2B19,146638,2738,0.01832958440445587,53087,0.36202757811754116,13.62882745263847
2006,CESSNA,172M,2198,0,0.0,874,0.3976342129208371,11.745677888989992
2006,CESSNA,210-5(205),1294,0,0.0,475,0.3670788253477589,9.837712519319938
2006,CESSNA,T210N,1402,0,0.0,494,0.35235378031383735,10.345221112696148
2006,DOUGLAS,DC-9-32,4424,105,0.023183925811437404,1210,0.27350813743218805,5.342450271247739
2006,DOUGLAS,DC-9-41,3789,66,0.017120622568093387,1329,0.3507521773555028,7.353127474267617
2006,EMBRAER,EMB-135LR,92770,0,0.0,35236,0.3798210628435917,11.277395709819984
2006,LEBLANC GLENN T,FALCON XP,1270,0,0.0,467,0.36771653543307087,12.786614173228346
2006,MARZ BARRY,KITFOX IV,1243,0,0.0,510,0.4102976669348351,13.44971842316975
2006,PAIR MIKE E,FALCON XP,254,0,0.0,87,0.3425196850393701,6.043307086614173
2006,PIPER,PA-28-180,3015,14,0.00462198745460548,1033,0.34262023217247095,11.085572139303483
2006,RAVEN,S55A,2681,0,0.0,987,0.3681462140992167,11.269675494218575
1998,AIRBUS INDUSTRIE,A320-212,26191,1171,0.04279657919742709,10768,0.41113359550990797,8.882058722461915
1998,BEECH,C90,1331,0,0.0,514,0.386175807663411,6.9406461307287755
1998,BOEING,737-33A,7998,139,0.01708246282413666,2976,0.37209302325581395,11.15016254063516
1998,BOEING,737-3S3,8062,147,0.017907175051772445,3005,0.37273629372364175,10.35723145621434
1998,BOEING,737-401,24463,0,0.0,11058,0.4520295957159792,7.787761108613007
1998,BOEING,737-4B7,30587,0,0.0,13607,0.44486219635792984,7.371170758819106
1998,BOEING,737-524,66436,0,0.0,22037,0.3317026913119393,4.798196760792342
1998,BOEING,747-451,93,0,0.0,81,0.8709677419354839,25.946236559139784
1998,BOEING,757-225,4265,106,0.024250743536948068,2497,0.5854630715123095,24.543728018757328
1998,BOEING,767-323,4200,0,0.0,1966,0.4680952380952381,9.798095238095238
1998,BOEING,767-332,35440,345,0.00964091099622747,21784,0.6146726862302483,8.367663656884876
1998,CESSNA,150,1213,0,0.0,437,0.3602638087386645,5.560593569661995
1998,DEHAVILLAND,OTTER DHC-3,1239,0,0.0,419,0.33817594834543985,5.454398708635996
1998,MCDONNELL DOUGLAS,DC-9-31,1701,59,0.033522727272727273,614,0.3609641387419165,9.225161669606115
1998,MCDONNELL DOUGLAS CORPORATION,MD-88,28976,460,0.015627123250441636,12956,0.44712865819988956,6.394188293760354
1998,PIPER,PA-32R-300,1239,0,0.0,480,0.387409200968523,6.228410008071025
2006,AGUSTA SPA,A109E,272,0,0.0,115,0.4227941176470588,13.735294117647058
2006,AIRBUS,A318-111,13886,130,0.009275114155251141,5607,0.4037879879014835,4.063445196600893
2006,AIRBUS,A320-211,2898,26,0.008891928864569083,1126,0.388543823326432,7.3771566597653555
2006,AIRBUS INDUSTRIE,A330-323,241,0,0.0,173,0.7178423236514523,28.863070539419088
2006,BEECH,65-A90,744,0,0.0,316,0.42473118279569894,12.442204301075268
2006,BOEING,737-3G7,33961,217,0.006349113464801919,14847,0.4371779394010777,8.243455728629899
2006,BOEING,737-4Q8,33353,547,0.016135693215339232,13900,0.41675411507210747,8.682577279405152
2006,BOEING,737-522,45895,11,2.396200932339999E-4,16197,0.3529142608127247,10.68913825035407
2006,BOEING,737-73A,1458,14,0.009510869565217392,438,0.3004115226337449,7.158436213991769
2006,BOEING,737-7BD,17939,125,0.006919840566873339,9016,0.502592117732315,13.224204247728412
2006,BOEING,737-924,15276,0,0.0,6070,0.3973553286200576,8.500785545954438
2006,BOEING,747-422,425,0,0.0,299,0.7035294117647058,27.221176470588237
2006,BOEING,757-223,20578,0,0.0,8755,0.4254543687433181,12.550199241908835
2006,BOEING,757-232,126478,1346,0.010530103892852673,57533,0.4548854346210408,8.849886936858583
2006,BOMBARDIER INC,CL600-2D24,76888,1312,0.016777493606138106,23470,0.3052491936322963,8.891959733638538
2006,CESSNA,182A,952,9,0.009365244536940686,323,0.3392857142857143,5.609243697478991
2006,CESSNA,550,1296,0,0.0,507,0.3912037037037037,11.975308641975309
2006,EMBRAER,EMB-145LR,439694,0,0.0,179442,0.408106546825747,11.726170927963539
2006,EMBRAER,EMB-145XR,125000,0,0.0,45512,0.364096,9.830296
2006,SIKORSKY,S-76A,841,0,0.0,335,0.3983353151010702,11.261593341260404
2006,STINNETT RON,FALCON XP,1343,0,0.0,503,0.37453462397617276,12.050632911392405
